Symbol,Volatility (%),Sharpe Ratio,Max Drawdown (%),95% VaR (%),99% VaR (%),Expected Shortfall 95% (%),Expected Shortfall 99% (%),Sortino Ratio,Calmar Ratio
AAPL,37.621766256151645,0.3732832655170002,78.88913039182755,2.8414584653876416,4.974823359840573,4.809784717045716,9.380551242038322,0.351850349849229,0.20336864765688437
AMZN,44.52056661686736,0.3414998250057557,97.80726320613388,3.1753470004168616,5.619460098494984,5.423684070527841,10.608928512488257,0.30977924347295993,0.17589456186458746
GOOGL,41.647537838135,0.2521326107819295,97.21600256275924,2.807008553318302,5.039979169982759,4.968431979925471,9.921319687360105,0.2166236141100144,0.128586879919262
META,38.3589753632386,0.6683656660943753,76.73609294049925,3.5632222978252415,6.132322116781044,5.429492861304198,9.459370368631474,0.8561381534532055,0.3601671789672551
MSFT,27.198949555695783,0.9521582765591006,37.55646877094813,2.647357627176161,4.345677001657943,3.8537631500797884,5.980577158145879,1.316228678085451,0.7428202343333606
NVDA,62.46612283650757,0.8424807325189262,92.29745181313295,4.572106522647728,7.754031693065086,7.9811741528559,15.92733687608144,0.8291997081509278,0.5918527960611082
TSLA,67.46863067818313,0.44010697533237214,95.17141261864879,5.480449422446782,9.744950266150779,9.254135590876093,17.707530104411052,0.4934151868137331,0.33301402286196347
Portfolio,31.047878437211697,0.7987823949540503,65.7048126216226,3.131011526003591,5.1884121185976735,4.767628267768315,8.09993908299774,0.9494963884151402,0.4078924758625441
